Device,Trip,dTime
10129,1198,68
10207,3255,68
13101,8409,68
10147,1404,68
13109,6822,68
13103,12105,68
10150,5306,68
10594,9767,68
17102,408,69
13108,999,69
10568,274,69
10140,700,69
13103,4320,69
17102,1903,69
13101,7505,69
13101,7882,69
10222,623,69
10190,2453,69
10139,7312,69
10176,83,70
10153,144,70
13109,2285,70
10593,117,70
10147,634,70
10595,1979,70
10106,5381,70
10159,8329,70
10150,5424,70
10177,19822,70
10159,13582,70
10156,51,71
13103,1859,71
13108,1308,71
10568,180,71
15101,731,71
13107,2314,71
10190,496,71
10139,864,71
13109,3097,71
13108,5843,71
13108,5912,71
13103,11257,71
10106,5485,71
10173,2760,71
10139,4531,71
10502,2525,71
17101,1267,72
10147,554,72
13108,2323,72
10133,1054,72
10158,2019,72
13107,6965,72
10159,7814,72
10224,3931,72
10502,3101,72
10132,7303,72
10140,167,73
10510,675,73
10150,1816,73
13105,11057,73
10611,3676,73
10159,8058,73
10159,8527,73
10177,17321,73
10150,5691,73
10177,18845,73
10615,11063,73
10132,7485,73
10515,7448,73
10131,1061,74
10181,398,74
15501,719,74
17103,1503,74
10205,1721,74
10160,3134,74
10106,4897,74
10594,6751,74
10594,7709,74
10177,18205,74
10594,9098,74
10177,20865,74
10137,252,75
10149,362,75
13101,2662,75
10615,1209,75
10190,1182,75
10159,2779,75
10106,5490,75
13101,13376,75
10204,3114,75
10177,20918,75
10106,240,76
10153,484,76
17101,1342,76
10573,546,76
10205,1717,76
13105,6502,76
13101,8283,76
13107,7278,76
10224,1898,76
10106,5623,76
10615,9501,76
10132,5944,76
10177,19155,76
17102,576,77
10604,904,77
10161,1843,77
10224,593,77
13110,6934,77
13107,8154,77
10159,6330,77
10159,8518,77
10132,6229,77
13107,432,78
17102,1130,78
10604,72,78
10165,918,78
10615,1097,78
10190,1421,78
10204,1773,78
10139,2258,78
10139,3059,78
10611,3508,78
10106,5130,78
10615,9244,78
10594,8951,78
10205,709,79
10161,48,79
10604,334,79
13103,3668,79
13103,5571,79
10587,2398,79
13107,7800,79
10132,4433,79
17102,102,80
13101,2687,80
10582,1814,80
10161,1794,80
13105,15285,80
10139,5010,80
13105,1,81
10204,591,81
10605,131,81
17103,1078,81
10118,1171,81
10620,50,81
10140,1058,81
10515,728,81
10584,880,81
10188,1387,81
10164,2093,81
13101,9103,81
10224,2060,81
10173,2883,81
10594,8725,81
10150,5705,81
10615,10860,81
17101,1426,82
10162,686,82
10134,537,82
10620,29,82
10139,1321,82
13107,3970,82
10159,2756,82
13108,5282,82
10125,1297,82
10106,4666,82
10177,20979,82
10176,5507,82
13107,225,83
10121,323,83
10165,280,83
13101,2807,83
10190,325,83
10207,1283,83
10147,562,83
10147,574,83
10204,1547,83
10118,1934,83
10589,1025,83
10620,760,83
10106,2026,83
13106,5488,83
10139,2322,83
13107,7496,83
10134,1610,83
13109,10490,83
10132,6771,83
10147,47,84
10592,101,84
10165,692,84
10146,773,84
10176,606,84
10600,646,84
10156,872,84
10615,1262,84
10147,957,84
10145,1035,84
17101,2078,84
10148,1818,84
10159,9716,84
10177,17350,84
13107,2566,85
10136,2075,85
10139,2382,85
13103,9732,85
10190,3077,85
10159,11729,85
10132,6077,85
10177,17257,85
10177,17466,85
10177,18080,85
10129,5620,85
10176,5725,85
13000,1133,86
10205,873,86
10147,177,86
17103,1253,86
15101,813,86
13109,3270,86
10224,737,86
10158,1965,86
10125,1421,86
10173,1265,86
10129,2128,86
10136,3658,86
13108,11077,86
10159,14149,86
10138,560,87
13103,2552,87
10150,748,87
10125,487,87
10133,1304,87
13106,6789,87
13101,8184,87
10137,3245,87
10557,1904,87
13107,6835,87
10176,2532,87
13105,11494,87
10106,4641,87
13109,9696,87
10129,4392,87
10594,7024,87
10594,7528,87
10159,12848,87
10177,18266,87
13107,405,88
13107,896,88
10137,490,88
13110,1831,88
10604,57,88
10204,1393,88
10615,972,88
10132,1448,88
10224,174,88
10605,4022,88
10160,2815,88
10159,8677,88
10502,2469,88
10132,6111,88
10125,3339,88
10205,111,89
10115,151,89
13103,487,89
13000,1134,89
10121,952,89
10620,339,89
13103,8863,89
10502,2427,89
10594,5993,89
13105,413,90
13110,1461,90
10620,1146,90
13107,7226,90
10146,3587,90
10106,4656,90
10594,7933,90
10594,8593,90
10204,208,91
13101,1518,91
10140,1397,91
10139,1669,91
10176,3838,91
10177,18213,91
10177,18790,91
10177,18955,91
10147,675,92
10159,7243,92
13103,14072,92
10222,1866,92
10139,5035,92
10177,17789,92
10502,2943,92
13107,270,93
10106,265,93
10188,265,93
10132,1173,93
10165,1601,93
10173,2750,93
10173,2803,93
10173,3721,93
10137,219,94
13107,2477,94
10515,480,94
10146,1310,94
10134,852,94
10147,1304,94
10106,3180,94
10224,2070,94
10137,5413,94
10132,5988,94
10594,8664,94
10177,20049,94
13105,320,95
10121,1193,95
10543,959,95
13107,4033,95
10139,1429,95
10147,1133,95
10173,805,95
10224,1079,95
10620,1782,95
10173,2216,95
13109,11592,95
10177,20767,95
10155,85,96
10162,12,96
10160,1844,96
10222,496,96
10611,2371,96
13110,12974,96
10160,3728,96
10173,3093,96
10176,3830,96
10177,19494,96
13103,1321,97
10136,1391,97
10134,1165,97
13101,7376,97
10106,4858,97
13105,13254,97
